epoch	nr_periods	nr_throttled	throttled_usec	usage_usec	mem_current	pids_current	tmux_rss_kb	tmux_fds	cpu_max
1784744590	15869	3091	1909190789	1248420241	16868966400	966	10196	9	200000/100000
1784744600	15972	3194	1968225159	1268939904	18476019712	943	10184	9	200000/100000
1784744610	16073	3286	2006566384	1288579891	18650652672	935	10196	9	200000/100000
1784744620	16173	3380	2013779293	1308335942	18725249024	932	10228	9	200000/100000
1784744630	16274	3425	2029579114	1333751643	18817339392	922	10240	9	960000/100000
1784744640	16374	3425	2029579114	1352224997	18854223872	940	10416	9	960000/100000
1784744650	16474	3425	2029579114	1369378973	18926628864	933	10404	9	960000/100000
1784744661	16575	3425	2029579114	1383345016	19087024128	934	10404	9	960000/100000
1784744671	16675	3425	2029579114	1400146901	19211264000	944	10404	9	960000/100000
1784744681	16775	3425	2029579114	1418249856	19263782912	942	10404	9	960000/100000
1784744691	16876	3425	2029579114	1433604606	19351904256	938	10356	9	960000/100000
1784744701	16976	3425	2029579114	1447034602	19389751296	939	10356	9	960000/100000
1784744711	17076	3425	2029579114	1460762372	19475857408	939	10260	9	960000/100000
1784744721	17177	3425	2029579114	1474595132	19562725376	937	10256	9	960000/100000
1784744731	17277	3425	2029579114	1491898612	19658166272	942	10256	9	960000/100000
1784744741	17377	3425	2029579114	1506049687	19747377152	939	10256	9	960000/100000
1784744751	17478	3425	2029579114	1529141743	19975663616	957	10256	9	960000/100000
1784744761	17578	3425	2029579114	1547293892	20536401920	960	10256	9	960000/100000
1784744771	17679	3476	2075509937	1618088770	22284365824	996	10256	9	960000/100000
1784744781	17779	3485	2082852242	1648643435	20946202624	954	10256	9	960000/100000
1784744791	17879	3485	2082852242	1670433929	20461391872	957	10256	9	960000/100000
1784744801	17980	3524	2109091457	1720276475	21815644160	999	10256	9	960000/100000
1784744811	18080	3539	2118711608	1752246628	21013487616	961	10256	9	960000/100000
1784744821	18180	3539	2118711608	1763494233	20275429376	940	10256	9	960000/100000
1784744831	18281	3539	2118711608	1770159982	20066340864	948	10416	9	960000/100000
1784744841	18381	3539	2118711608	1776979171	20081979392	937	10368	9	960000/100000
1784744851	18481	3539	2118711608	1782289841	20058742784	944	10348	9	960000/100000
1784744861	18582	3539	2118711608	1788923738	20066152448	939	10364	9	960000/100000
1784744871	18682	3539	2118711608	1794577114	20050247680	934	10368	9	960000/100000
1784744881	18783	3539	2118711608	1798843390	20067155968	937	10384	9	960000/100000
1784744891	18883	3539	2118711608	1805830904	20052262912	940	10380	9	960000/100000
1784744901	18983	3539	2118711608	1810335637	20055621632	939	10296	9	960000/100000
1784744911	19084	3539	2118711608	1816278105	20103233536	942	10304	9	960000/100000
1784744921	19184	3539	2118711608	1821277612	20042268672	940	10284	9	960000/100000
1784744931	19284	3539	2118711608	1826565253	20051853312	936	10256	9	960000/100000
1784744942	19385	3539	2118711608	1834820364	20064325632	938	10196	9	960000/100000
1784744952	19485	3539	2118711608	1841785173	20053528576	941	10212	9	960000/100000
1784744962	19585	3539	2118711608	1846631719	20072542208	943	10212	9	960000/100000
1784744972	19686	3539	2118711608	1852404276	20083306496	941	10164	9	960000/100000
1784744982	19786	3539	2118711608	1864321050	20130361344	943	10164	9	960000/100000
1784744992	19886	3539	2118711608	1871705993	20094570496	944	10128	9	960000/100000
1784745002	19987	3539	2118711608	1876559082	20101619712	937	10132	9	960000/100000
1784745012	20087	3539	2118711608	1882323810	20070035456	939	10416	9	960000/100000
1784745022	20188	3539	2118711608	1889954986	20063137792	941	10312	9	960000/100000
1784745032	20288	3539	2118711608	1896710474	20084105216	943	10224	9	960000/100000
